contrast,symbol,log2FC,input_gene,ortholog_gene
TNFpos_iNOSneg-unsorted,NOD2,-1.4112,NOD2,NOD2
TNFpos_iNOSneg-unsorted,TRAF3,-1.0157,TRAF3,TRAF3
TNFpos_iNOSneg-unsorted,MYD88,-1.5037,MYD88,MYD88
TNFpos_iNOSneg-unsorted,RIPK2,-1.3998,RIPK2,RIPK2
TNFpos_iNOSneg-unsorted,TNF,-2.1652,TNF,TNF
TNFpos_iNOSneg-unsorted,IRF9,-1.5317,IRF9,IRF9
TNFpos_iNOSneg-unsorted,LACTB,-1.1613,LACTB,LACTB
TNFpos_iNOSneg-unsorted,SPSB2,-1.2208,SPSB2,SPSB2
TNFpos_iNOSneg-unsorted,NAGK,-1.2231,NAGK,NAGK
TNFpos_iNOSneg-unsorted,CUL5,-1.3206,CUL5,CUL5
TNFpos_iNOSneg-unsorted,RELA,-1.2959,RELA,RELA
TNFpos_iNOSneg-unsorted,IRAK4,-1.1721,IRAK4,IRAK4
TNFpos_iNOSneg-unsorted,PTPN2,-1.067,PTPN2,PTPN2
TNFpos_iNOSneg-unsorted,AIFM1,-1.542,AIFM1,AIFM1
TNFpos_iNOSneg-unsorted,PAIP1,-1.2685,PAIP1,PAIP1
TNFpos_iNOSneg-unsorted,MRPL15,-2.4685,MRPL15,MRPL15
TNFpos_iNOSneg-unsorted,TLR2,-1.1423,TLR2,TLR2
TNFpos_iNOSneg-unsorted,FEN1,-1.937,FEN1,FEN1
TNFpos_iNOSneg-unsorted,UBE2M,-2.8364,UBE2M,UBE2M
TNFpos_iNOSneg-unsorted,VPS11,-1.6162,VPS11,VPS11
TNFpos_iNOSneg-unsorted,RRAGC,-1.7237,RRAGC,RRAGC
TNFpos_iNOSneg-unsorted,TSC1,-1.1582,TSC1,TSC1
TNFpos_iNOSneg-unsorted,PDCD11,-1.5868,PDCD11,PDCD11
TNFpos_iNOSneg-unsorted,GCLC,-2.8021,GCLC,GCLC
TNFpos_iNOSneg-unsorted,WDR48,-1.6472,WDR48,WDR48
TNFpos_iNOSneg-unsorted,AP2M1,-2.9065,AP2M1,AP2M1
TNFpos_iNOSneg-unsorted,RNF20,-1.3292,RNF20,RNF20
TNFpos_iNOSneg-unsorted,NDUFS1,-1.1487,NDUFS1,NDUFS1
TNFpos_iNOSneg-unsorted,VPS33A,-1.1979,VPS33A,VPS33A
