Bacterial Bait  (Locus ID),Human Protein Uniprot,Human Gene name,MIST,Abundance,Reproducibility,Specificity,IP Number,WD,WDv2,Entry.name,Protein.names,,Length (aa)
Apa,Q7L591,DOK3,0.999867848,0.009562955,0.999735696,1,"TBIP196,TBIP250,TBIP301",5073.947353,237.0950536,DOK3_HUMAN,Docking protein 3 (Downstream of tyrosine kinase 3),,496
Apa,Q96AE4,FUBP1,0.999153466,0.064550723,0.998306931,1,"TBIP196,TBIP250,TBIP301",14792.97147,691.2449261,FUBP1_HUMAN,Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V),,644
Apa,P23246,SFPQ PSF,0.999111078,0.056422668,0.998222155,1,"TBIP196,TBIP250,TBIP301",14792.97147,691.2449261,SFPQ_HUMAN,"Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)",,707
Apa,Q15233,NONO NRB54,0.998118171,0.077736817,0.996236342,1,"TBIP196,TBIP250,TBIP301",14573.80422,681.0036943,NONO_HUMAN,"Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)",,471
Apa,Q15437,SEC23B,0.991820243,0.012150673,0.983640486,1,"TBIP196,TBIP250,TBIP301",7175.645161,335.3030404,SC23B_HUMAN,Protein transport protein Sec23B (SEC23-related protein B),,767
Apa,Q9H3S7,PTPN23 KIAA1471,0.991376377,0.002534904,0.982752754,1,"TBIP196,TBIP250,TBIP301",4746.243148,221.7821147,PTN23_HUMAN,Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48) (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14),,1636
Apa,O94855,SEC24D KIAA0755,0.989560319,0.014006067,0.979120639,1,"TBIP196,TBIP250,TBIP301",8969.556451,419.1288005,SC24D_HUMAN,Protein transport protein Sec24D (SEC24-related protein D),,1032
Apa,Q15436,SEC23A,0.988629775,0.023099787,0.977259551,1,"TBIP196,TBIP250,TBIP301",9825.656799,459.1325971,SC23A_HUMAN,Protein transport protein Sec23A (SEC23-related protein A),,765
Apa,Q92945,KHSRP FUBP2,0.987767498,0.06815471,0.975534995,1,"TBIP196,TBIP250,TBIP301",16244.55764,759.0745422,FUBP2_HUMAN,Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75),,711
Apa,Q15654,TRIP6 OIP1,0.982733176,0.005066904,0.965466353,1,"TBIP196,TBIP250,TBIP301",3587.822581,167.6515202,TRIP6_HUMAN,Thyroid receptor-interacting protein 6 (TR-interacting protein 6) (TRIP-6) (Opa-interacting protein 1) (OIP-1) (Zyxin-related protein 1) (ZRP-1),,476
